timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506997,0.37,64.23,7.85,8302.42,2.65,6.81,5.62
1774506998,0.37,64.23,7.85,8302.27,2.65,6.81,5.62
1774506999,0.37,64.23,7.85,8302.13,2.65,6.81,5.62
1774507000,0.38,64.23,7.87,8302.17,2.64,6.81,5.62
1774507001,0.38,64.23,7.87,8302.10,2.64,6.81,5.62
1774507002,0.38,64.24,7.87,8302.07,2.64,6.81,5.62
1774507003,0.38,64.24,7.87,8301.92,2.64,6.81,5.62
1774507004,0.38,64.23,7.87,8301.78,2.64,6.81,5.62
1774507005,0.38,64.23,7.87,8301.68,2.64,6.81,5.62
1774507006,0.38,64.24,7.88,8301.65,2.64,6.81,5.62
1774507007,0.38,64.25,7.89,8301.66,2.64,6.81,5.62
1774507008,0.38,64.25,7.89,8301.52,2.64,6.81,5.62
1774507009,0.38,64.25,7.89,8301.43,2.64,6.81,5.62
1774507010,0.38,64.25,7.89,8301.38,2.64,6.81,5.62
1774507011,0.38,64.25,7.89,8301.28,2.64,6.81,5.62
1774507012,0.38,64.25,7.89,8301.14,2.64,6.81,5.62
1774507013,0.38,64.25,7.89,8301.04,2.64,6.81,5.62
1774507014,0.38,64.25,7.89,8300.93,2.64,6.81,5.62
1774507015,0.38,64.25,7.89,8300.79,2.64,6.81,5.62
1774507016,0.38,64.25,7.89,8300.65,2.64,6.81,5.62
1774507017,0.38,64.24,7.89,8300.55,2.64,6.81,5.62
1774507018,0.38,64.24,7.89,8300.47,2.64,6.81,5.62
1774507019,0.38,64.24,7.89,8300.33,2.64,6.81,5.62
1774507020,0.38,64.24,7.89,8300.19,2.64,6.81,5.62
1774507021,0.38,64.24,7.89,8300.05,2.64,6.81,5.62
1774507022,0.38,64.24,7.89,8299.90,2.64,6.81,5.62
1774507023,0.38,64.24,7.89,8299.76,2.64,6.81,5.62
1774507024,0.38,64.24,7.89,8299.65,2.64,6.81,5.62
1774507025,0.38,64.24,7.89,8299.51,2.64,6.81,5.62
1774507026,0.38,64.24,7.89,8299.37,2.64,6.81,5.62
1774507027,0.38,64.24,7.89,8299.22,2.64,6.81,5.62
1774507028,0.38,64.24,7.89,8299.08,2.64,6.81,5.62
1774507029,0.38,64.24,7.89,8298.94,2.64,6.81,5.62
1774507030,0.38,64.24,7.89,8298.79,2.64,6.81,5.62
1774507031,0.38,64.23,7.89,8298.65,2.64,6.81,5.62
1774507032,0.38,64.23,7.89,8298.51,2.64,6.81,5.62
1774507033,0.38,64.24,7.89,8298.39,2.64,6.81,5.62
1774507034,0.38,64.24,7.89,8298.24,2.64,6.81,5.62
1774507035,0.38,64.23,7.89,8298.10,2.64,6.81,5.62
1774507036,0.38,64.23,7.89,8297.96,2.64,6.81,5.62
1774507037,0.38,64.23,7.89,8297.87,2.64,6.81,5.62
1774507038,0.38,64.23,7.89,8297.72,2.64,6.81,5.62
1774507039,0.38,64.23,7.89,8297.71,2.64,6.81,5.62
1774507040,0.38,64.23,7.89,8297.61,2.64,6.81,5.62
1774507041,0.38,64.23,7.89,8297.47,2.64,6.81,5.62
1774507042,0.38,64.23,7.90,8297.33,2.64,6.81,5.62
1774507043,0.38,64.23,7.90,8297.18,2.64,6.81,5.62
1774507044,0.38,64.23,7.90,8297.04,2.64,6.81,5.62
1774507045,0.38,64.23,7.90,8296.90,2.64,6.81,5.62
1774507046,0.38,64.23,7.90,8296.75,2.64,6.81,5.62
1774507047,0.38,64.22,7.90,8296.61,2.64,6.81,5.62
1774507048,0.38,64.22,7.90,8296.47,2.64,6.81,5.62
1774507049,0.38,64.22,7.90,8296.34,2.64,6.81,5.62
1774507050,0.38,64.22,7.90,8296.19,2.64,6.81,5.62
1774507051,0.38,64.22,7.90,8296.05,2.64,6.81,5.62
1774507052,0.38,64.22,7.90,8295.91,2.64,6.81,5.62
1774507053,0.38,64.22,7.90,8295.76,2.64,6.81,5.62
