timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592891,0.50,1.01,0.00,98.49
1774592892,0.00,1.01,0.00,98.99
1774592893,0.51,0.51,0.00,98.99
1774592894,0.50,1.00,0.00,98.51
1774592895,0.00,1.01,0.00,98.99
1774592896,1.01,1.01,0.00,97.99
1774592897,0.50,1.00,0.00,98.50
1774592898,1.00,1.50,0.00,97.50
1774592899,0.00,1.00,0.00,99.00
1774592900,1.00,0.50,0.00,98.51
1774592901,0.00,0.51,0.00,99.49
1774592902,0.00,0.50,0.00,99.50
1774592903,0.00,1.01,0.00,98.99
1774592904,0.00,1.01,0.50,98.49
1774592905,0.00,1.01,0.00,98.99
1774592906,0.00,1.00,0.00,99.00
1774592907,0.50,0.50,0.00,99.00
1774592908,0.50,1.49,0.00,98.02
1774592909,0.00,1.01,0.00,98.99
1774592910,0.50,1.00,0.00,98.51
1774592911,0.00,1.01,0.00,98.99
1774592912,0.50,1.00,0.00,98.50
1774592913,0.50,1.00,0.00,98.01
1774592914,0.50,1.00,0.00,98.50
1774592915,0.50,1.00,0.00,98.50
1774592916,0.00,1.50,0.00,98.50
1774592917,0.50,1.49,0.00,98.01
1774592918,0.50,1.00,0.00,98.50
1774592919,0.50,1.01,0.00,98.49
1774592920,1.00,1.00,0.00,98.01
1774592921,0.00,1.00,0.00,99.00
1774592922,0.00,1.01,0.00,98.99
1774592923,0.00,1.50,0.00,98.50
1774592924,0.50,1.00,0.00,98.50
1774592925,0.50,0.50,0.00,99.00
1774592926,0.50,1.01,0.00,98.49
1774592927,0.00,1.49,0.00,98.51
1774592928,0.50,0.50,0.00,98.99
1774592929,1.01,0.50,0.00,98.49
1774592930,0.00,1.01,0.00,98.99
1774592931,1.00,1.00,0.00,98.01
1774592932,0.00,1.50,0.00,98.50
1774592933,1.00,1.00,0.00,98.01
1774592934,0.00,1.01,0.00,98.99
1774592935,0.00,1.51,0.00,98.49
1774592936,1.01,0.50,0.00,98.49
1774592937,0.50,1.00,0.00,98.50
1774592938,0.50,1.49,0.00,98.01
1774592939,0.50,1.00,0.00,98.50
1774592940,0.00,1.01,0.00,98.99
1774592941,0.50,1.00,0.00,98.51
1774592942,1.00,1.00,0.00,98.00
1774592943,0.00,1.01,0.00,98.99
1774592944,0.00,1.00,0.00,99.00
1774592945,0.50,1.49,0.00,97.52
1774592946,0.00,1.50,0.00,98.50
1774592947,0.50,1.01,0.00,98.49
1774592948,0.50,1.49,0.00,98.02
1774592949,0.00,1.01,0.00,98.99
1774592950,0.50,1.49,0.00,98.01
1774592951,0.50,1.00,0.00,98.50
1774592952,0.50,1.01,0.00,98.49
1774592953,0.50,1.00,0.00,98.50
1774592954,1.00,1.00,0.00,98.01
1774592955,0.00,1.00,0.00,99.00
1774592956,1.00,1.00,3.50,94.50
1774592957,0.00,1.01,0.00,98.99
1774592958,0.99,1.97,0.00,97.04
1774592959,0.51,1.01,0.00,98.48
1774592960,1.00,1.49,0.00,97.51
1774592961,1.01,1.51,0.00,97.49
1774592962,0.50,1.50,0.50,97.50
1774592963,1.01,1.01,0.00,97.99
1774592964,1.00,1.99,0.00,97.01
1774592965,1.49,1.49,0.00,97.01
1774592966,0.00,1.02,0.00,98.98
1774592967,0.99,1.49,0.00,97.52
1774592968,0.50,0.50,0.00,98.99
1774592969,0.00,0.51,0.00,99.49
1774592970,0.50,1.00,0.00,98.50
