timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774508143,6,58,61
1774508144,6,58,61
1774508145,6,58,61
1774508146,6,58,61
1774508147,6,58,61
1774508148,6,58,61
1774508149,6,58,61
1774508150,6,58,61
1774508151,6,58,61
1774508152,6,58,61
1774508153,6,58,61
1774508154,6,58,61
1774508155,6,58,61
1774508156,6,58,61
1774508157,6,58,61
1774508158,6,58,61
1774508159,6,58,61
1774508160,6,58,61
1774508161,6,58,61
1774508162,6,58,61
1774508163,6,58,61
1774508164,6,58,61
1774508165,6,58,61
1774508167,6,58,61
1774508168,6,58,61
1774508169,6,58,61
1774508170,6,58,61
1774508171,6,58,61
1774508172,6,58,61
1774508173,6,58,61
1774508174,6,58,61
1774508175,6,58,61
1774508176,6,58,61
1774508177,6,58,61
1774508178,6,58,61
1774508179,6,58,61
1774508180,6,58,61
1774508181,6,58,61
1774508182,6,58,61
1774508183,6,58,61
1774508184,6,58,61
1774508185,6,58,61
1774508186,6,58,61
1774508187,6,58,61
1774508188,6,58,61
1774508189,6,58,61
1774508190,6,58,61
1774508191,6,58,61
1774508192,6,58,61
1774508193,6,58,61
1774508194,6,58,61
1774508195,6,58,61
1774508196,6,58,61
1774508197,6,58,61
1774508198,6,58,61
1774508199,6,58,61
1774508200,6,58,61
1774508201,6,58,61
1774508202,6,58,61
1774508203,6,58,61
1774508204,6,58,61
1774508205,6,58,61
1774508206,6,58,61
1774508207,6,58,61
1774508208,6,58,61
1774508209,6,58,61
1774508210,6,58,61
1774508211,6,58,61
1774508212,6,58,61
1774508213,6,58,61
1774508214,6,58,61
1774508215,6,58,61
1774508216,6,58,61
1774508217,6,58,61
1774508218,6,58,61
1774508219,6,58,61
1774508220,6,58,61
1774508221,6,58,61
1774508222,6,58,61
1774508223,6,58,61
1774508224,6,58,61
1774508225,6,58,61
1774508226,6,58,61
1774508227,6,58,61
1774508228,6,58,61
1774508229,6,58,61
1774508230,6,58,61
1774508231,6,58,61
1774508232,6,58,61
1774508233,6,58,61
1774508234,6,58,61
1774508235,6,58,61
1774508236,6,58,61
1774508238,6,58,61
1774508239,6,58,61
1774508240,6,58,61
1774508241,6,58,61
1774508242,6,58,61
1774508243,6,58,61
1774508244,6,58,61
1774508245,6,58,61
1774508246,6,58,61
1774508247,6,58,61
1774508248,6,58,61
1774508249,6,58,61
1774508250,6,58,61
1774508251,6,58,61
1774508252,6,58,61
1774508253,6,58,61
1774508254,6,58,61
1774508255,6,58,61
1774508256,6,58,61
1774508257,6,58,61
1774508258,6,58,61
1774508259,6,58,61
1774508260,6,58,61
1774508261,6,58,61
1774508262,6,58,61
1774508263,6,58,61
1774508264,6,58,61
1774508265,6,58,61
1774508266,6,58,61
1774508267,6,58,61
1774508268,6,58,61
1774508269,6,58,61
1774508270,6,58,61
1774508271,6,58,61
1774508272,6,58,61
1774508273,6,58,61
1774508274,6,58,61
1774508275,6,58,61
1774508276,6,58,61
1774508277,6,58,61
1774508278,6,58,61
1774508279,6,58,61
1774508280,6,58,61
1774508281,6,58,61
1774508282,6,58,61
1774508283,6,58,61
1774508284,6,58,61
1774508285,6,58,61
1774508286,6,58,61
1774508287,6,58,61
1774508288,6,58,61
1774508289,6,58,61
1774508290,6,58,61
1774508291,6,58,61
1774508292,6,58,61
1774508293,6,58,61
1774508294,6,58,61
1774508295,6,58,61
1774508296,6,58,61
1774508297,6,58,61
1774508298,6,58,61
1774508299,6,58,61
1774508300,6,58,61
1774508301,6,58,61
1774508302,6,58,61
1774508303,6,58,61
1774508304,6,58,61
1774508305,6,58,61
1774508306,6,58,61
1774508307,6,58,61
1774508308,6,58,61
1774508309,6,58,61
1774508310,6,58,61
